Database Name,Report Date,User ID,User Name,Permission Group,Status,Security Blotter Code,Security Blotter Name,Last Login Date,Password Expired,Login ID=User ID?,DOS Permission Group,DOS#1 Name,DOS#1 Permitted,DOS#2 Name,DOS#2 Permitted,DOS#3 Name,DOS#3 Permitted,DOS#4 Name,DOS#4 Permitted,DOS#5 Name,DOS#5 Permitted,DOS#6 Name,DOS#6 Permitted,DOS#7 Name,DOS#7 Permitted
TEST01,20080211,1a,James Smith,ACCOUNTING,Active,903,1 Generic Blotter,1/14/2011,N,N,GENERAL USER,Accounting Administration,Y,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,Y
TEST01,20080211,1a2a,Mary Johnson,ACCOUNTING,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2a,Mary Johnson,FINANCE,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2b,John Williams,FINANCE,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2b,John Williams,HR,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2b,John Williams,IT,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2b3b4a,Michel Perez,IT,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2b3b4a,Michel Perez,HR,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2b3b4a,Michel Perez,ACCOUNTING,Active,872,1 Generic Blotter,1/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2c3d4e,Martha Price,ACCOUNTING,Active,872,1 Generic Blotter,2/20/2008,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2c3d4e,Martha Price,ADMINISTRATORS,Active,872,1 Generic Blotter,2/20/2008,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1a2c3d4e,Martha Price,ACCOUNTING,Active,872,1 Generic Blotter,2/20/2008,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,1b2a3a4a,Carl Foster,ACCOUNTING,Active,872,1 Generic Blotter,7/14/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,T1T2T3,John Conner,IT,Active,872,1 Generic Blotter,7/1/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
TEST01,20080211,T1T2T3,John Conner,ADMINISTRATORS,Active,872,1 Generic Blotter,7/1/2011,Y,N,VIEW ONLY USER,Accounting Administration,N,Data Requests,N,Define Programs,N,Loading Functions,N,Manual Pricing,N,Operations,N,Portfolio Management,N
